Empfänger,COUNTA von Empfänger
"Agoub, Joseph Elie",3
"Alexander I., Zar von Russland",2
"Alibert, Jean-Louis, baron ",5
"Allenet (?), Monsieur",1
"Alopaeus, David Maximowitsch",1
"Amalric, François de Sales",9
"Andrieux, François",11
"Anglemont, Edouard d'",2
"Arnim-Boitzenburg, Anna Caroline von, geb. von der Schulenburg",1
"Asfeld, L. C. d'",3
"Aubard / Aubart, Monsieur",1
"Audiffret, Florimond Louis, comte d'",16
"Audouard, Monsieur",1
"Audouin de Géronval, Maurice",5
"Auger, Louis Simon",3
"Babois, Marguerite Victoire",6
"Baden, Stéphanie von, geb. de Beauharnais",1
"Bailly, Jean-Louis-Armand",1
"Barbier, Antoine-Alexandre",77
"Barbier, Louis-Nicolas",29
"Bard, Charles Joseph",2
"Bavier, Major de",1
"Bavier, Monsieur de",2
"Béarn, Alexandre de Galard de Brassac de",1
"Beaufort d'Hautpoul, Anne-Marie, comtesse de, geb. de Montgeroult",1
"Becdelièvre, comtesse de",1
"Bélanger, Monsieur",2
"Beltrami, Giacomo Costantino",2
"Bernard de Rennes, Louis Bernard, gen.",4
"Berr / Behr, Michel",1
"Berr, Madame (Ehefrau von Michel Berr)",1
"Bertin, Louis-François",1
"Berville, Saint-Albin",24
"Beuchot, Adrien-Jean-Quentin (?)",1
"Biergans, Joseph Wilhelm (Staatsanwalt in Köln)",1
"Bignan, Anne",10
"Bigot de Préameneu, Félix Julien Jean",1
"Bonafous, Matthieu",1
"Bonaparte, Pauline, verh. Borghese",1
"Boucharlat, Jean-Louis",36
"Bouché Durmont, Monsieur",1
"Bouilly, Monsieur",1
"Boulay de la Meurthe, Monsieur",2
"Brack / Bracq, Monsieur de (Directeur des douanes impériales et consul général des états de Lucca et Piombino)",1
"Breguet, Abraham Louis (?)",2
"Briquet, Fortunée",1
"Buchon, Monsieur",2
"C., Monsieur",1
"Cabanis, Charlotte, geb. de Grouchy",1
"Cabanon, Mademoiselle Cléonis",1
"Candolle, Augustin-Pyrame de",2
"Canot / Canaux, Monsieur (unklar ob Vertrauensmann der Salm-Dyck oder/und Cousin der Francq?)",1
"Carrion de Nisas, Henri de, baron",1
"Caumont, Arcisse de",1
"Césarini, Jacques-Auguste-Vié de",2
"Châlot, Madame de (Siehe Vanhove)",1
"Châtelain, Jean-Baptiste-François, chevalier de",2
"Châtelain, Monsieur",14
"Chazet, Pierre A[lissan] de",2
"Cherubini, Luigi",1
"Christian, Auguste de",2
"Christian, Monsieur (de?)",2
"Clavier, Étienne",1
"Coëls, Friedrich Josef Antonius von",2
"Colbert, Jean Baptiste",1
"Colet, Hippolyte",1
"Colet, Louise, geb. Révoil",2
"Comminges, comte de",1
"Comte, Achille",1
"Constant, Benjamin",1
"Cooper, James Fenimore",1
"Cordellier-Delanoue, Étienne Casimir Hippolyte",2
"Coubard d'Aulnay, Germain Etienne",3
"Courier de Méré, Paul-Louis",1
"Courier, Esther Etienne Herminie, geb. Clavier",1
"Cubières-Palmézeaux, Michel de",3
"Dahmen, Ida, verh. Mengelbier",1
"Dalberg, Karl Theodor Reichsfreiherr von",3
"Dauriat, Louise",8
"David, Monsieur",1
"Delestre-Poirson, Charles-Gaspard",2
"Denis, Ferdinand",4
"Depping, Georges-Bernard",19
"Deshayes, Monsieur",1
"Devise, Monsieur de (Cousin der CdS)",1
"Didot, Firmin",4
"Dournel de Bonnival, Monsieur",1
"Drais, Pierre (Vertrauensmann der CdS)",50
"Du Château, Monsieur",1
"Duchosal, Marie-Émile-Guillaume",1
"Dulac, comte",1
"Dumas, Alexandre",4
"Dumas, Jean-Baptiste (von der Académie in Lyon?)",1
"Dupaty, Emmanuel Mercier",2
"Dupont de l'Étang, Pierre Antoine, comte",1
"Duval, Alexandre, eigentl. Alexandre-Vincent Pineux",10
"Duval, Amaury, eigentl. Charles-Alexandre-Amaury Pineux",29
"Duval, Henri",1
"Émeric-David, Toussaint Bernard",1
"Evelt, Christian (Rechtsanwalt in Düsseldorf)",1
"Fabre, Auguste-Jean-Raymond",2
"Fallenstein, Georg Friedrich (?)",1
"Faucheux, Monsieur (Anwalt der Erben Pipelet in Tours)",1
"Faulcon de La Parisière, Marie-Félix",1
"Fayolle, François-Joseph-Marie",2
"Fée, Cécile",2
"Feuillet, Laurent",1
"Forster, Charles (auch Karol)",4
"Fossé-Darcosse, François Barthélémy Thérèse Émilien",1
"Français de Nantes, eigentl. Antoine Français",1
"Français, Madame",1
"François de Méricourt, Madame",1
"François, Madame",1
"Francq, Agathe Clémence, baronne de, geb. Pipelet, gen. Minette",108
"Francq, Alexandre de",2
"Francq, Constant de",4
"Francq, Félix, baron de",17
"Francq, Louis Bernard, baron de",1
"Francq, Ozélie (Azélie), baronne de",2
"Friedrich Wilhelm III., König von Preußen",12
"Friedrich Wilhelm IV., König von Preußen",1
"Gall, Dr. Franz Joseph",1
"Gay, Sigismond, baron de Lupigny",2
"Gay, Sophie, baronne de Lupigny, geb. Nichault de la Valette",15
"Gence, Jean-Baptiste-Modeste",2
"Georgeon, General",1
"Girardin, Émile de",2
"Girodet-Trioson, Anne-Louis, eigentl. Girodet de Roussy",1
"Gosse, Étienne (Redakteur der ""Pandore"")",2
"Gouvion Saint-Cyr, Anne de",1
"Gudin de La Brenellerie, Paul-Philippe",3
"Guerrier de Dumast, Prosper",1
"Guillon Lethière, Guillaume",1
